Publication Years	records	% of 19198
2016	1838	9.574
2015	1833	9.548
2014	1485	7.735
2013	1326	6.907
2009	1174	6.115
2012	1145	5.964
2011	1136	5.917
2010	1021	5.318
2007	1019	5.308
2008	976	5.084
2017	799	4.162
2006	678	3.532
2005	638	3.323
2004	562	2.927
2003	447	2.328
2002	357	1.860
1997	337	1.755
2000	337	1.755
1998	323	1.682
2001	320	1.667
1999	263	1.370
1996	214	1.115
1995	185	0.964
1992	167	0.870
1994	165	0.859
1993	154	0.802
1991	135	0.703
1990	37	0.193
1989	27	0.141
1984	20	0.104
1986	20	0.104
1988	18	0.094
1987	13	0.068
1982	7	0.036
1981	6	0.031
1985	5	0.026
1983	4	0.021
1969	2	0.010
1977	2	0.010
1980	2	0.010
(15 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
