Publication Years	records	% of 11602
2015	1124	9.688
2016	1086	9.360
2014	842	7.257
2009	823	7.094
2007	744	6.413
2013	732	6.309
2012	664	5.723
2008	651	5.611
2011	650	5.602
2010	597	5.146
2006	463	3.991
2005	430	3.706
2004	400	3.448
2017	376	3.241
2003	274	2.362
2002	253	2.181
2001	216	1.862
2000	204	1.758
1997	199	1.715
1998	184	1.586
1999	164	1.414
1996	100	0.862
1995	91	0.784
1994	85	0.733
1993	84	0.724
1992	67	0.577
1991	43	0.371
1989	11	0.095
1984	9	0.078
1988	9	0.078
1986	8	0.069
1987	6	0.052
1981	3	0.026
1982	3	0.026
1985	2	0.017
1990	2	0.017
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
