Publication Years	records	% of 6316
2015	675	10.687
2016	629	9.959
2014	541	8.566
2013	492	7.790
2012	439	6.951
2007	368	5.826
2009	335	5.304
2011	335	5.304
2008	323	5.114
2010	287	4.544
2017	260	4.117
2005	153	2.422
2002	150	2.375
2006	147	2.327
2003	128	2.027
2004	119	1.884
1997	118	1.868
2000	115	1.821
1998	105	1.662
2001	102	1.615
1995	78	1.235
1996	75	1.187
1993	70	1.108
1994	59	0.934
1999	56	0.887
1992	51	0.807
1991	44	0.697
1989	13	0.206
1990	13	0.206
1986	10	0.158
1988	8	0.127
1987	5	0.079
1985	3	0.047
1969	2	0.032
1981	2	0.032
1982	2	0.032
1984	2	0.032
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
