Publication Years	records	% of 1244
2017	93	7.476
2015	89	7.154
2014	87	6.994
2007	62	4.984
2016	60	4.823
2010	59	4.743
2012	55	4.421
2013	54	4.341
2004	49	3.939
2009	49	3.939
2003	46	3.698
2008	46	3.698
2005	43	3.457
1996	41	3.296
2011	39	3.135
2006	35	2.814
1995	32	2.572
1998	31	2.492
2000	27	2.170
1997	25	2.010
1991	24	1.929
1994	23	1.849
1992	22	1.768
1999	21	1.688
1990	19	1.527
1993	18	1.447
2001	18	1.447
1986	14	1.125
2002	14	1.125
1989	11	0.884
1984	9	0.723
1988	7	0.563
1987	5	0.402
1981	4	0.322
1985	4	0.322
1982	3	0.241
1969	2	0.161
1983	2	0.161
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
