Research Areas	records	% of 12984
ENGINEERING	5623	43.307
COMPUTER SCIENCE	3994	30.761
PSYCHOLOGY	1264	9.735
TRANSPORTATION	669	5.152
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH	558	4.298
OPERATIONS RESEARCH MANAGEMENT SCIENCE	481	3.705
BUSINESS ECONOMICS	438	3.373
ENVIRONMENTAL SCIENCES ECOLOGY	423	3.258
HEALTH CARE SCIENCES SERVICES	414	3.189
AUTOMATION CONTROL SYSTEMS	409	3.150
BEHAVIORAL SCIENCES	355	2.734
TELECOMMUNICATIONS	317	2.441
OPTICS	306	2.357
GENERAL INTERNAL MEDICINE	287	2.210
MEDICAL INFORMATICS	267	2.056
EDUCATION EDUCATIONAL RESEARCH	253	1.949
SURGERY	215	1.656
INFORMATION SCIENCE LIBRARY SCIENCE	210	1.617
MATERIALS SCIENCE	209	1.610
NUCLEAR SCIENCE TECHNOLOGY	204	1.571
SOCIAL SCIENCES OTHER TOPICS	203	1.563
IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	192	1.479
SCIENCE TECHNOLOGY OTHER TOPICS	165	1.271
GEOLOGY	150	1.155
INSTRUMENTS INSTRUMENTATION	147	1.132
ROBOTICS	147	1.132
ANESTHESIOLOGY	142	1.094
PHYSICS	116	0.893
ENERGY FUELS	109	0.839
CONSTRUCTION BUILDING TECHNOLOGY	108	0.832
SPORT SCIENCES	101	0.778
NURSING	100	0.770
WATER RESOURCES	97	0.747
MATHEMATICS	89	0.685
REMOTE SENSING	85	0.655
PHYSICAL GEOGRAPHY	84	0.647
EMERGENCY MEDICINE	83	0.639
OCEANOGRAPHY	80	0.616
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING	76	0.585
NEUROSCIENCES NEUROLOGY	71	0.547
AGRICULTURE	69	0.531
COMMUNICATION	64	0.493
PEDIATRICS	63	0.485
BIODIVERSITY CONSERVATION	59	0.454
REHABILITATION	58	0.447
PHARMACOLOGY PHARMACY	55	0.424
