Publication Years	records	% of 12984
2015	1051	8.095
2016	965	7.432
2013	959	7.386
2014	857	6.600
2012	803	6.185
2011	787	6.061
2017	703	5.414
2010	616	4.744
2009	568	4.375
2008	540	4.159
2007	477	3.674
2006	351	2.703
1997	301	2.318
2005	292	2.249
2004	270	2.079
1998	266	2.049
2000	245	1.887
1999	240	1.848
2003	233	1.795
2001	216	1.664
2002	216	1.664
1992	203	1.563
1995	197	1.517
1996	179	1.379
1994	176	1.356
1993	151	1.163
1991	129	0.994
1990	76	0.585
1989	71	0.547
1982	70	0.539
1983	69	0.531
1984	53	0.408
1985	44	0.339
1988	44	0.339
1981	43	0.331
1987	42	0.323
1977	31	0.239
1972	30	0.231
1986	30	0.231
1969	27	0.208
1976	27	0.208
1979	24	0.185
1966	23	0.177
1978	23	0.177
1968	22	0.169
1980	22	0.169
1970	21	0.162
1974	20	0.154
1971	19	0.146
1975	17	0.131
1962	15	0.116
1965	14	0.108
1958	13	0.100
1973	13	0.100
1961	12	0.092
1967	12	0.092
1959	10	0.077
1960	8	0.062
1963	8	0.062
1957	7	0.054
1964	6	0.046
2018	6	0.046
1948	5	0.039
1953	4	0.031
1956	3	0.023
1927	2	0.015
(16 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
