Publication Years	records	% of 3994
2013	323	8.087
2015	296	7.411
2016	284	7.111
2011	257	6.435
2014	243	6.084
2009	242	6.059
2008	224	5.608
2007	215	5.383
2012	203	5.083
2010	199	4.982
2017	188	4.707
2006	126	3.155
1999	124	3.105
1997	118	2.954
2004	114	2.854
1998	113	2.829
2005	89	2.228
2003	82	2.053
2001	77	1.928
2002	71	1.778
1994	58	1.452
2000	53	1.327
1995	51	1.277
1993	39	0.976
1992	37	0.926
1996	37	0.926
1982	19	0.476
1983	18	0.451
1991	18	0.451
1984	12	0.300
1981	10	0.250
1990	10	0.250
1985	9	0.225
1987	7	0.175
1988	6	0.150
1979	5	0.125
1989	4	0.100
1986	3	0.075
1977	2	0.050
1978	2	0.050
1980	2	0.050
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
