Publication Years	records	% of 5623
2015	444	7.896
2016	383	6.811
2013	353	6.278
2011	330	5.869
2014	315	5.602
2012	304	5.406
2010	231	4.108
2017	230	4.090
2008	207	3.681
2007	202	3.592
2009	200	3.557
1997	191	3.397
1998	176	3.130
2006	154	2.739
1999	130	2.312
1992	129	2.294
1995	127	2.259
2000	121	2.152
2001	110	1.956
1994	106	1.885
2005	106	1.885
1996	103	1.832
2004	102	1.814
2002	93	1.654
2003	93	1.654
1993	87	1.547
1991	84	1.494
1990	51	0.907
1989	48	0.854
1982	38	0.676
1988	31	0.551
1983	26	0.462
1976	23	0.409
1984	23	0.409
1969	20	0.356
1968	18	0.320
1985	17	0.302
1987	17	0.302
1980	15	0.267
1981	15	0.267
1972	14	0.249
1977	14	0.249
1978	14	0.249
1970	13	0.231
1974	13	0.231
1986	12	0.213
1966	11	0.196
1971	10	0.178
1962	9	0.160
1975	8	0.142
1979	8	0.142
1967	7	0.124
1959	6	0.107
1973	6	0.107
1960	5	0.089
1965	5	0.089
1958	4	0.071
1963	4	0.071
1957	2	0.036
1961	2	0.036
2018	2	0.036
(11 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
