Publication Years	records	% of 1264
2016	74	5.854
2008	65	5.142
2014	63	4.984
2017	57	4.509
2015	50	3.956
2013	48	3.797
2010	43	3.402
2012	42	3.323
2000	40	3.165
1995	35	2.769
2007	34	2.690
2011	33	2.611
1994	29	2.294
1998	29	2.294
2009	29	2.294
2004	28	2.215
1982	26	2.057
2001	25	1.978
2003	24	1.899
1989	23	1.820
1997	23	1.820
2006	23	1.820
1987	21	1.661
2002	21	1.661
1992	20	1.582
2005	20	1.582
1993	18	1.424
1996	18	1.424
1977	17	1.345
1972	16	1.266
1976	16	1.266
1986	16	1.266
1980	15	1.187
1983	15	1.187
1988	14	1.108
1981	12	0.949
1990	12	0.949
1999	12	0.949
1984	11	0.870
1962	10	0.791
1968	10	0.791
1970	10	0.791
1978	10	0.791
1969	9	0.712
1975	9	0.712
1991	9	0.712
1966	8	0.633
1971	8	0.633
1985	8	0.633
1974	7	0.554
1959	6	0.475
1973	6	0.475
1958	5	0.396
1961	5	0.396
1967	5	0.396
1979	5	0.396
1963	4	0.316
1960	3	0.237
1956	2	0.158
1957	2	0.158
1965	2	0.158
2018	2	0.158
(12 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
