Publication Years	records	% of 6298
2016	517	8.209
2015	457	7.256
2009	417	6.621
2014	385	6.113
2011	350	5.557
2007	347	5.510
2013	336	5.335
2012	335	5.319
2008	284	4.509
2010	281	4.462
2005	231	3.668
2004	219	3.477
2006	217	3.446
2017	193	3.064
2001	168	2.668
1997	159	2.525
1998	157	2.493
2002	149	2.366
2003	148	2.350
2000	145	2.302
1999	130	2.064
1993	110	1.747
1995	109	1.731
1994	87	1.381
1996	83	1.318
1992	82	1.302
1991	73	1.159
1990	52	0.826
1989	17	0.270
1988	13	0.206
1987	11	0.175
1983	6	0.095
1986	6	0.095
1971	4	0.064
1984	4	0.064
1982	3	0.048
1985	3	0.048
1969	2	0.032
1978	2	0.032
1979	2	0.032
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
