Publication Years	records	% of 3572
2009	290	8.119
2007	262	7.335
2016	246	6.887
2015	213	5.963
2014	206	5.767
2011	181	5.067
2008	173	4.843
2004	161	4.507
2013	157	4.395
2010	152	4.255
2005	146	4.087
2006	136	3.807
2012	136	3.807
2001	129	3.611
2002	109	3.052
1998	104	2.912
1997	100	2.800
1999	98	2.744
2003	91	2.548
2000	87	2.436
1993	72	2.016
2017	65	1.820
1994	58	1.624
1995	55	1.540
1992	41	1.148
1996	32	0.896
1991	20	0.560
1990	12	0.336
1986	6	0.168
1987	6	0.168
1988	6	0.168
1989	6	0.168
1984	4	0.112
1982	3	0.084
1983	3	0.084
1985	2	0.056
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
