Publication Years	records	% of 2496
2015	203	8.133
2016	194	7.772
2009	157	6.290
2007	139	5.569
2013	137	5.489
2012	133	5.329
2014	127	5.088
2011	116	4.647
2008	115	4.607
2010	108	4.327
1998	83	3.325
2005	82	3.285
1993	72	2.885
2001	72	2.885
1997	70	2.804
2006	69	2.764
2004	62	2.484
2017	62	2.484
2000	61	2.444
2002	57	2.284
1995	55	2.204
2003	51	2.043
1991	44	1.763
1996	44	1.763
1994	43	1.723
1999	43	1.723
1992	35	1.402
1990	33	1.322
1989	8	0.321
1988	4	0.160
1987	3	0.120
1982	2	0.080
1983	2	0.080
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
