Publication Years	records	% of 438
2017	33	7.534
2016	23	5.251
2015	22	5.023
1996	21	4.795
2004	21	4.795
1995	20	4.566
2010	19	4.338
2012	19	4.338
2009	18	4.110
2013	18	4.110
2000	17	3.881
2003	17	3.881
2008	17	3.881
2006	15	3.425
2005	14	3.196
2007	14	3.196
2014	14	3.196
1998	13	2.968
2001	13	2.968
2011	13	2.968
1999	12	2.740
1990	10	2.283
2002	10	2.283
1992	7	1.598
1997	7	1.598
1993	6	1.370
1994	6	1.370
1989	5	1.142
1991	5	1.142
1988	4	0.913
1987	2	0.457
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
